request_id,timestamp,method,path,remote_addr,label,attack_types_json,admin_path_signal,automation_user_agent_signal,body_length,body_length_score,command_injection_signal,cookies_count,encoded_character_ratio,fingerprint_reuse_score,has_form_body,has_json_body,header_count,ip_block_ratio,ip_request_rate_score,login_path_signal,method_is_mutating,missing_user_agent_signal,path_depth,path_novelty_score,query_length,query_length_score,session_request_rate_score,sql_injection_signal,suspicious_keyword_hits,token_bucket_pressure,traversal_signal,unique_path_pressure,url_length,xss_signal
86c09bdc50b1,2026-04-01T21:14:42+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.28,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.2451,0.0,0.1,43.0,0.0
7ff3ad84320e,2026-04-01T21:14:42+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.8,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.2245,0.0,0.1,43.0,0.0
6b68094ab69e,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2174,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.2044,0.0,0.1,43.0,0.0
f962728fa757,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1818,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.1845,0.0,0.1,43.0,0.0
09894e1accd9,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1429,0.7,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.1645,0.0,0.1,43.0,0.0
e34ce4d08b86,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666666,0.0,0.0,1.0,0.1444,0.0,0.1,43.0,0.0
b7c8d2a8fd70,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1053,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.1239,0.0,0.1,37.0,0.0
9a657a240927,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1111,0.6,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.1036,0.0,0.1,37.0,0.0
94b0d36330ab,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1176,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.0833,0.0,0.1,37.0,0.0
6dc053d927ed,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.125,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.0628,0.0,0.1,37.0,0.0
968951927f64,2026-04-01T21:14:40+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1333,0.5,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.0425,0.0,0.1,37.0,0.0
75d6085fe6ec,2026-04-01T21:14:40+00:00,GET,/,127.0.0.1,benign,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1429,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,14.0,0.11666666666666667,0.0,0.0,0.0,0.0222,0.0,0.1,37.0,0.0
65b949b2cb25,2026-04-01T21:13:27+00:00,GET,/,127.0.0.1,malicious,"[""suspicious_payload""]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.3333,0.1,0.0,0.0,0.0,0.0,0.0,19.0,0.15833333333333333,0.0,0.0,1.0,0.0222,0.0,0.1,42.0,0.0
b5e7064546e9,2026-04-01T21:13:17+00:00,GET,/,127.0.0.1,benign,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,13.0,0.10833333333333334,0.0,0.0,0.0,0.0222,0.0,0.1,36.0,0.0
