request_id,timestamp,method,path,remote_addr,label,attack_types_json,rule_block,hybrid_block,admin_path_signal,automation_user_agent_signal,body_length,body_length_score,command_injection_signal,cookies_count,encoded_character_ratio,fingerprint_reuse_score,has_form_body,has_json_body,header_count,ip_block_ratio,ip_request_rate_score,login_path_signal,method_is_mutating,missing_user_agent_signal,path_depth,path_novelty_score,query_length,query_length_score,session_request_rate_score,sql_injection_signal,suspicious_keyword_hits,token_bucket_pressure,traversal_signal,unique_path_pressure,url_length,xss_signal
public-000001,2026-04-01T21:14:42+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,21.0,0.0
public-000002,2026-04-01T21:14:42+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0444,0.0,0.05,21.0,0.0
public-000003,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,3.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0667,0.0,0.05,21.0,0.0
public-000004,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0889,0.0,0.05,21.0,0.0
public-000005,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""blacklist"", ""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,3.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.1111,0.0,0.05,21.0,0.0
public-000006,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,malicious,"[""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1333,0.0,0.05,21.0,0.0
public-000007,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1556,0.0,0.05,21.0,0.0
public-000008,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.1778,0.0,0.05,21.0,0.0
public-000009,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.2,0.0,0.05,21.0,0.0
public-000010,2026-04-01T21:14:41+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2222,0.0,0.05,21.0,0.0
public-000011,2026-04-01T21:14:40+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2444,0.0,0.05,21.0,0.0
public-000012,2026-04-01T21:14:40+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.2667,0.0,0.05,21.0,0.0
public-000013,2026-04-01T21:13:27+00:00,GET,/,127.0.0.1,malicious,"[""suspicious_payload""]",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2889,0.0,0.05,21.0,0.0
public-000014,2026-04-01T21:13:17+00:00,GET,/,127.0.0.1,benign,[],0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.3111,0.0,0.05,21.0,0.0
